AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,AccelX_2,AccelY_2,AccelZ_2,GyroX_2,GyroY_2,GyroZ_2,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3,AccelX_3,AccelY_3,AccelZ_3,GyroX_3,GyroY_3,GyroZ_3
-2.224299908,3.638000011,8.725999832,-0.111599997,0.150199994,0.0495,3.252300024,2.550899982,8.986199379,0.031300001,-0.0035,-0.0133,-3.036000013,9.056699753,-1.554499984,0.259000003,0.060799997,-0.379500002,-3.036000013,9.056699753,-1.554499984,0.259000003,0.060799997,-0.379500002
-2.229099989,3.629400015,8.730799675,-0.0416,0.0942,0.105499998,3.235599995,2.555699825,8.977899551,-0.056199998,-0.055999998,0.021699999,-3.045399904,9.046199799,-1.559000015,0.066500001,0.022299999,-0.368999988,-3.045399904,9.046199799,-1.559000015,0.066500001,0.022299999,-0.368999988
-2.232899904,3.625599861,8.736499786,-0.013599999,0.122199997,0.021499999,3.24029994,2.553299904,8.984999657,-0.073699996,-0.021,-0.0133,-3.051999807,9.042399406,-1.533199906,0.164499998,0.148299992,-0.326999992,-3.051999807,9.042399406,-1.533199906,0.164499998,0.148299992,-0.326999992
-2.230999947,3.634199858,8.733699799,-0.111599997,0.164199993,0.0075,3.235599995,2.556900024,8.983799934,-0.021199999,-0.0385,-0.0133,-3.040799856,9.049599648,-1.52699995,0.206499994,0.200800002,-0.256999999,-3.040799856,9.049599648,-1.52699995,0.206499994,0.200800002,-0.256999999
-2.234799862,3.638000011,8.729800224,0.0004,0.206199989,-0.020499999,3.241499901,2.555699825,8.9897995,-0.1087,0.083999999,0.056699999,-3.045599937,9.043600082,-1.516199946,0.206499994,0.078299999,-0.326999992,-3.045599937,9.043600082,-1.516199946,0.206499994,0.078299999,-0.326999992
-2.242399931,3.640899897,8.72219944,0.0284,0.164199993,0.0495,3.233199835,2.558099985,8.995800018,-0.021199999,0.048999999,0.0042,-3.032899857,9.05189991,-1.515999913,0.108499996,0.106299996,-0.228999987,-3.032899857,9.05189991,-1.515999913,0.108499996,0.106299996,-0.228999987
-2.231899977,3.630299807,8.723099709,0.140399992,0.164199993,0.0495,3.246299982,2.556900024,8.984999657,0.0138,-0.021,0.056699999,-3.044399977,9.05189991,-1.52459991,0.276499987,0.078299999,-0.326999992,-3.044399977,9.05189991,-1.52459991,0.276499987,0.078299999,-0.326999992
-2.239599943,3.636999846,8.735599518,0.0004,0.164199993,-0.048499998,3.239199877,2.547399998,8.988599777,-0.073699996,-0.0035,0.091699995,-3.05279994,9.053099632,-1.530599952,0.328999996,-0.0092,-0.274499983,-3.05279994,9.053099632,-1.530599952,0.328999996,-0.0092,-0.274499983
-2.237699986,3.623600006,8.720299721,-0.0276,0.164199993,0.0495,3.247499943,2.560499907,8.98029995,-0.056199998,0.031500001,0.074199997,-3.056299925,9.041199684,-1.535300016,0.206499994,-0.236699998,-0.274499983,-3.056299925,9.041199684,-1.535300016,0.206499994,-0.236699998,-0.274499983
-2.227099895,3.6322999,8.724999428,0.126399994,-0.353799999,-0.076499999,3.249899864,2.561699867,8.984999657,0.066299997,-0.021,-0.0133,-3.055199862,9.047200203,-1.540099978,0.188999996,-0.271699995,-0.326999992,-3.055199862,9.047200203,-1.540099978,0.188999996,-0.271699995,-0.326999992
-2.225899935,3.636999846,8.730500221,0.045899998,-0.185800001,-0.020499999,3.248699903,2.552099943,8.986199379,-0.073699996,0.014,-0.0308,-3.042500019,9.04529953,-1.540799975,0.164499998,-0.17369999,-0.116999999,-3.042500019,9.04529953,-1.540799975,0.164499998,-0.17369999,-0.116999999
-2.228299856,3.6322999,8.729299545,0.203400001,-0.220799997,-0.090499997,3.241499901,2.552099943,8.987400055,0.048799999,-0.090999998,-0.0133,-3.029099941,9.05189991,-1.546599984,0.066500001,0.190299988,-0.186999992,-3.029099941,9.05189991,-1.546599984,0.066500001,0.190299988,-0.186999992
-2.228299856,3.629899979,8.72219944,0.045899998,-0.185800001,-0.003,3.245100021,2.547399998,8.974299431,0.0138,-0.021,-0.0133,-3.047999859,9.055500031,-1.528199911,0.136500001,0.323300004,-0.326999992,-3.047999859,9.055500031,-1.528199911,0.136500001,0.323300004,-0.326999992
-2.239099979,3.627499819,8.730500221,0.0284,0.0242,-0.003,3.247499943,2.554499865,8.98029995,0.066299997,-0.055999998,0.056699999,-3.059899807,9.043600082,-1.529399991,-0.021,0.41079998,-0.239500001,-3.059899807,9.043600082,-1.529399991,-0.021,0.41079998,-0.239500001
-2.237900019,3.629899979,8.729299545,0.045899998,0.0242,-0.020499999,3.246299982,2.554499865,8.973099709,0.066299997,-0.0385,-0.0133,-3.061100006,9.047200203,-1.52699995,0.083999999,0.428299993,-0.169499993,-3.061100006,9.047200203,-1.52699995,0.083999999,0.428299993,-0.169499993
-2.246299982,3.6322999,8.730500221,0.16839999,0.076699995,-0.072999999,3.230799913,2.556900024,8.98029995,-0.0037,0.014,0.056699999,-3.062599897,9.033800125,-1.52459991,0.0385,0.3583,-0.186999992,-3.062599897,9.033800125,-1.52459991,0.0385,0.3583,-0.186999992
-2.234299898,3.631099939,8.725799561,0.16839999,-0.0458,0.0145,3.245100021,2.549700022,8.984999657,0.031300001,0.031500001,0.056699999,-3.076699972,9.035200119,-1.514999986,0.171499997,0.270799994,-0.151999995,-3.076699972,9.035200119,-1.514999986,0.171499997,0.270799994,-0.151999995
